"xxR","Rx5","Rx5GEL"
0,1,1
4000,0.99999999438073,0.999999994380329
8000,0.999999515459567,0.999999514119122
12000,0.99998637879213,0.999985971614769
16000,0.999824774518262,0.999801032422798
20000,0.998747215786297,0.998229908698247
24000,0.994397050319027,0.987573715022581
28000,0.982560504617126,0.893147991263003
32000,0.958624687399696,0.144594244745637
36000,0.919780218179248,0.000136542677703635
40000,0.865960828807906,4.8992441270097e-09
44000,0.799292273783117,9.97030123474199e-15
48000,0.723089482078772,1.88738066319286e-21
52000,0.640701291892892,1.40489727887978e-29
56000,0.555271425319221,4.70437950692232e-40
60000,0.47014295700788,3.74359242938064e-52
64000,0.388570397797374,1.11809643147922e-65
68000,0.313313782846081,1.25376287066497e-80
72000,0.246423072452158,5.2282128459258e-97
76000,0.189148143962712,8.02457871631845e-115
80000,0.141843112948913,4.4848176541624e-134
84000,0.104080598668457,9.02642373416256e-155
88000,0.0749201170155834,6.46939532631582e-177
92000,0.0530753628268769,1.63267022033687e-200
96000,0.0371190801646186,1.43465322147034e-225
1e+05,0.0257026040643133,4.34090558959986e-252
104000,0.0176750518348521,4.47336900029951e-280
108000,0.0121035157045503,1.55319517707579e-309
112000,0.00826562932642116,0
116000,0.00563261296722717,0
120000,0.00383166427575249,0
124000,0.00260308407416277,0
128000,0.00176727410805268,0
132000,0.00120044413554045,0
136000,0.000816842171390967,0
140000,0.000557167906828136,0
144000,0.000380907955162291,0
148000,0.000260705126708521,0
152000,0.000178286242696449,0
156000,0.000121566467642963,0
160000,8.25266578405162e-05,0
164000,5.57320484034163e-05,0
168000,3.74154253966857e-05,0
172000,2.49441282324994e-05,0
176000,1.64865761259431e-05,0
180000,1.07778994279751e-05,0
184000,6.94881297316127e-06,0
188000,4.40303815874813e-06,0
192000,2.73144728646184e-06,0
196000,1.65258746763717e-06,0
2e+05,9.71912729847552e-07,0
