"taus","evar"
0,0
2500,0.0107512207815902
5000,0.0337933535760901
7500,0.0693119215326122
10000,0.0895859520427411
12500,0.121898653826522
15000,0.127486760588499
17500,0.0661143960400202
20000,0.0546399351909946
22500,0.0497167143073554
25000,0.0289994585442305
27500,0.0150496274297211
30000,0.000119378485346132
32500,NA
35000,NA
