"V1","V2"
0.025,0.000333333333333333
0.075,0.0016
0.125,0.00406666666666667
0.175,0.0107333333333333
0.225,0.0224
0.275,0.0406666666666666
0.325,0.069
0.375,0.106
0.425,0.1564
0.475,0.2166
0.525,0.302533333333333
0.575,0.381133333333333
0.625,0.473533333333334
0.675,0.588266666666666
0.725,0.692733333333334
0.775,0.793866666666666
0.825,0.896533333333333
0.875,0.990400000000001
0.925,1.07873333333333
0.975,1.12113333333333
1.025,1.14026666666667
1.075,1.14953333333333
1.125,1.12946666666667
1.175,1.08126666666667
1.225,1.0424
1.275,0.958533333333333
1.325,0.879666666666666
1.375,0.785999999999999
1.425,0.689533333333333
1.475,0.601533333333335
1.525,0.511933333333333
1.575,0.436333333333333
1.625,0.351533333333333
1.675,0.297866666666666
1.725,0.236600000000001
1.775,0.187933333333333
1.825,0.1456
1.875,0.113933333333333
1.925,0.0869999999999999
1.975,0.0638666666666669
2.025,0.0431999999999998
2.075,0.0340000000000001
2.125,0.0266000000000001
2.175,0.0173333333333332
2.225,0.0131333333333334
2.275,0.00926666666666662
2.325,0.00633333333333336
2.375,0.00473333333333331
2.425,0.00293333333333334
2.475,0.00166666666666667
2.76352370295291,0.000316227088491638
