"taus","emean"
0,0
2500,0.271597772458763
5000,0.531905222336881
7500,0.79373186513671
10000,1.12501503436391
12500,1.39526019085255
15000,1.63799972090832
17500,1.74849188030716
20000,1.93871110963179
22500,2.14409067084746
25000,2.3966080970651
27500,2.58243129611609
30000,2.72361830189041
32500,2.83965014577259
35000,2.94897959183673
