"xxR","Rx3","Rx3GEL"
0,1,1
4000,0.999999999999603,0.999999999999603
8000,0.999999999974497,0.999999999974497
12000,0.999999999226002,0.999999999225987
16000,0.999999985165604,0.999999985162376
20000,0.999999799279731,0.999999798923103
24000,0.999997937371005,0.999997918204229
28000,0.999983483971407,0.9999829140818
32000,0.999896631249688,0.999886465547954
36000,0.99948916526253,0.999371536748389
40000,0.997994152084349,0.996994427314257
44000,0.993687645567677,0.98659021383443
48000,0.983743660833509,0.932332609130388
52000,0.964779212657576,0.531179415955194
56000,0.933975601611791,0.0111186373760201
60000,0.890070424099489,8.78005809108927e-06
64000,0.833548511866227,8.50933128871623e-10
68000,0.766330723391122,9.12141109126917e-15
72000,0.691164126605476,2.08504032703764e-21
76000,0.610949780430366,1.07396775971712e-29
80000,0.528764836376138,3.35265722975655e-39
84000,0.447848886696879,6.72341239923374e-50
88000,0.371170721427967,8.39555933682558e-62
92000,0.301077680297234,6.33015067082672e-75
96000,0.239169299615264,2.80008762915275e-89
1e+05,0.186247233203954,7.07230580124848e-105
104000,0.142326083724405,9.94240714813667e-122
108000,0.10688486400697,7.59412915678571e-140
112000,0.0790631207647847,3.08025158595222e-159
116000,0.0577557200058772,6.49211929035074e-180
120000,0.0417649651948035,6.96487381745671e-202
124000,0.0299615803594248,3.72931756273739e-225
128000,0.0213720630829754,9.78118622753784e-250
132000,0.0151920393613287,1.23331450241103e-275
136000,0.0107774755176459,6.35930204429644e-303
140000,0.00763525353077871,0
144000,0.00540276609741234,0
148000,0.00381837575649734,0
152000,0.00269501728931632,0
156000,0.00190025544415224,0
160000,0.00134011238545068,0
164000,0.000946751070504933,0
168000,0.000670845005163995,0
172000,0.000476975478712467,0
176000,0.000340145416353013,0
180000,0.000242956027413265,0
184000,0.000173467357641477,0
188000,0.000123567079476163,0
192000,8.77057670571441e-05,0
196000,6.1991235404087e-05,0
2e+05,4.36192139019393e-05,0
