"V1","V2"
0.0125,0
0.0375,0.000266666666666667
0.0625,0.00426666666666667
0.0875,0.0257333333333333
0.1125,0.0870666666666667
0.1375,0.276666666666666
0.1625,0.640666666666667
0.1875,1.35186666666667
0.2125,2.37773333333333
0.2375,3.5532
0.2625,4.57613333333333
0.2875,5.15173333333333
0.3125,5.17786666666667
0.3375,4.6844
0.3625,3.79320000000001
0.3875,2.84946666666666
0.4125,1.9644
0.4375,1.33653333333334
0.4625,0.817733333333333
0.4875,0.524933333333334
0.5125,0.329466666666666
0.5375,0.195066666666666
0.5625,0.115733333333333
0.5875,0.0662666666666666
0.6125,0.0432000000000002
0.6375,0.0261333333333333
0.6625,0.0113333333333333
0.6875,0.00839999999999999
0.7125,0.004
0.7375,0.00226666666666667
0.7625,0.00146666666666667
0.7875,0.00133333333333333
0.8125,0.000933333333333333
0.8375,0.000133333333333333
0.8625,0
0.8875,0
0.9125,0.000266666666666666
0.9375,0
0.9625,0.000133333333333333
0.9875,0
1.0125,0
1.0375,0
1.05379709397014,0
1.06629709397014,0
1.0875,0
1.1125,0
1.1375,0
1.1625,0
1.1875,0
1.2125,0
1.2375,0
